province,city,year,month,price
上海,闵行,2010,11,19395
上海,闵行,2010,10,19372
上海,闵行,2010,09,19089
上海,闵行,2010,08,18962
上海,闵行,2010,07,18942
上海,闵行,2010,06,19307
上海,闵行,2010,05,19426
上海,闵行,2010,04,19004
上海,闵行,2010,03,17950
上海,闵行,2010,02,17636
上海,闵行,2010,01,17205
上海,浦东,2010,12,21643
上海,浦东,2010,11,21354
上海,浦东,2010,10,21222
上海,浦东,2010,09,20988
上海,浦东,2010,08,20722
上海,浦东,2010,07,20850
上海,浦东,2010,06,21082
上海,浦东,2010,05,21266
上海,浦东,2010,04,21007
上海,浦东,2010,03,20188
上海,浦东,2010,02,20192
上海,浦东,2010,01,19835
上海,上海,2013,12,29978
上海,上海,2013,11,29593
上海,上海,2013,10,28751
上海,上海,2013,09,28048
上海,上海,2013,08,27510
上海,上海,2013,07,27169
上海,上海,2013,06,26923
上海,上海,2013,05,26759
上海,上海,2013,04,26493
上海,上海,2013,03,25690
上海,上海,2013,02,24514
上海,上海,2013,01,23920
上海,上海,2014,12,30522
上海,上海,2014,11,30491
上海,上海,2014,10,30435
上海,上海,2014,09,30576
上海,上海,2014,08,30532
上海,上海,2014,07,30573
上海,上海,2014,06,30642
上海,上海,2014,05,30987
上海,上海,2014,04,30813
上海,上海,2014,03,30547
上海,上海,2014,02,30331
上海,上海,2014,01,30096
上海,上海,2015,12,35237
上海,上海,2015,11,34167
上海,上海,2015,10,33470
上海,上海,2015,09,33073
上海,上海,2015,08,32713
上海,上海,2015,07,32592
上海,上海,2015,06,32030
上海,上海,2015,05,31607
上海,上海,2015,04,31136
上海,上海,2015,03,31198
上海,上海,2015,02,31198
上海,上海,2015,01,30826
上海,上海周边,2013,12,7656
上海,上海周边,2013,11,7473
上海,上海周边,2013,10,7229
上海,上海周边,2013,09,7265
上海,上海周边,2013,08,7162
上海,上海周边,2013,07,7112
上海,上海周边,2013,06,6912
上海,上海周边,2013,05,6804
上海,上海周边,2013,04,6884
上海,上海周边,2013,03,6806
上海,上海周边,2013,02,6703
上海,上海周边,2013,01,6632
上海,崇明,2013,12,6978
上海,崇明,2013,11,6445
上海,崇明,2013,10,6021
上海,崇明,2013,09,6175
上海,崇明,2013,08,5577
上海,崇明,2013,07,6012
上海,崇明,2013,06,6020
上海,崇明,2013,02,4980
上海,崇明,2013,01,4915
上海,上海周边,2015,12,8387
上海,上海周边,2015,11,8529
上海,上海周边,2015,10,8245
上海,上海周边,2015,09,8118
上海,上海周边,2015,08,7991
上海,上海周边,2015,07,7982
上海,上海周边,2015,06,7978
上海,上海周边,2015,05,7780
上海,上海周边,2015,04,7928
上海,上海周边,2015,03,7873
上海,上海周边,2015,02,7915
上海,上海周边,2015,01,7922
上海,崇明,2015,12,10605
上海,崇明,2015,11,12388
上海,崇明,2015,10,10887
上海,崇明,2015,09,13664
上海,崇明,2015,08,15075
上海,崇明,2015,07,10317
上海,崇明,2015,06,7864
上海,崇明,2015,05,8288
上海,崇明,2015,04,8895
上海,崇明,2015,03,11085
上海,崇明,2015,02,7372
上海,崇明,2015,01,12086
上海,金山,2015,12,8968
上海,金山,2015,11,10552
上海,金山,2015,10,8876
上海,金山,2015,09,9146
上海,金山,2015,08,9135
上海,金山,2015,07,8967
上海,金山,2015,06,9084
上海,金山,2015,05,9022
上海,金山,2015,04,9168
上海,金山,2015,03,9116
上海,金山,2015,02,9068
上海,金山,2015,01,9149
上海,奉贤,2015,12,15765
上海,奉贤,2015,11,16151
上海,奉贤,2015,10,16694
上海,奉贤,2015,09,17060
上海,奉贤,2015,08,16864
上海,奉贤,2015,07,15592
上海,奉贤,2015,06,14652
上海,奉贤,2015,05,14601
上海,奉贤,2015,04,14447
上海,奉贤,2015,03,14597
上海,奉贤,2015,02,14630
上海,奉贤,2015,01,14512
上海,青浦,2015,12,19748
上海,青浦,2015,11,19760
上海,青浦,2015,10,19174
上海,青浦,2015,09,19673
上海,青浦,2015,08,19300
上海,青浦,2015,07,19998
上海,青浦,2015,06,19866
上海,青浦,2015,05,20491
上海,青浦,2015,04,20192
上海,青浦,2015,03,20408
上海,青浦,2015,02,20703
上海,青浦,2015,01,19825
上海,黄浦,2015,12,55324
上海,黄浦,2015,11,52849
上海,黄浦,2015,10,51093
上海,黄浦,2015,09,50593
上海,黄浦,2015,08,49590
上海,黄浦,2015,07,48657
上海,黄浦,2015,06,46933
上海,黄浦,2015,05,46088
上海,黄浦,2015,04,45219
上海,黄浦,2015,03,45264
上海,黄浦,2015,02,45766
上海,黄浦,2015,01,45044
上海,长宁,2015,12,45666
上海,长宁,2015,11,44248
上海,长宁,2015,10,43236
上海,长宁,2015,09,42672
上海,长宁,2015,08,41843
上海,长宁,2015,07,41902
上海,长宁,2015,06,41068
上海,长宁,2015,05,40348
上海,长宁,2015,04,40007
上海,长宁,2015,03,39436
上海,长宁,2015,02,39639
上海,长宁,2015,01,39569
上海,虹口,2015,12,40895
上海,虹口,2015,11,40249
上海,虹口,2015,10,39171
上海,虹口,2015,09,39061
上海,虹口,2015,08,38349
上海,虹口,2015,07,38084
上海,虹口,2015,06,37210
上海,虹口,2015,05,36409
上海,虹口,2015,04,36001
上海,虹口,2015,03,36075
上海,虹口,2015,02,36138
上海,虹口,2015,01,36117
上海,杨浦,2015,12,39934
上海,杨浦,2015,11,38757
上海,杨浦,2015,10,37852
上海,杨浦,2015,09,37066
上海,杨浦,2015,08,36571
上海,杨浦,2015,07,36721
上海,杨浦,2015,06,36311
上海,杨浦,2015,05,35924
上海,杨浦,2015,04,35602
上海,杨浦,2015,03,35720
上海,杨浦,2015,02,35478
上海,杨浦,2015,01,35706
上海,普陀,2015,12,37433
上海,普陀,2015,11,36372
上海,普陀,2015,10,35275
上海,普陀,2015,09,34836
上海,普陀,2015,08,34332
上海,普陀,2015,07,33912
上海,普陀,2015,06,33341
上海,普陀,2015,05,32908
上海,普陀,2015,04,32505
上海,普陀,2015,03,32660
上海,普陀,2015,02,32561
上海,普陀,2015,01,32182
上海,静安,2015,12,61287
上海,静安,2015,11,58770
上海,静安,2015,10,55988
上海,静安,2015,09,54485
上海,静安,2015,08,54633
上海,静安,2015,07,53916
上海,静安,2015,06,52623
上海,静安,2015,05,50320
上海,静安,2015,04,49555
上海,静安,2015,03,50202
上海,静安,2015,02,50170
上海,静安,2015,01,49627
上海,嘉定,2015,12,20393
上海,嘉定,2015,11,20189
上海,嘉定,2015,10,20170
上海,嘉定,2015,09,20084
上海,嘉定,2015,08,19941
上海,嘉定,2015,07,19551
上海,嘉定,2015,06,18926
上海,嘉定,2015,05,18692
上海,嘉定,2015,04,18460
上海,嘉定,2015,03,18485
上海,嘉定,2015,02,18838
上海,嘉定,2015,01,18130
上海,松江,2015,12,21080
上海,松江,2015,11,20916
上海,松江,2015,10,20731
上海,松江,2015,09,20574
上海,松江,2015,08,20609
上海,松江,2015,07,20431
上海,松江,2015,06,20041
上海,松江,2015,05,19813
上海,松江,2015,04,19493
上海,松江,2015,03,19610
上海,松江,2015,02,19645
上海,松江,2015,01,19389
上海,徐汇,2015,12,49911
上海,徐汇,2015,11,48539
上海,徐汇,2015,10,46852
上海,徐汇,2015,09,45933
上海,徐汇,2015,08,44962
上海,徐汇,2015,07,43812
上海,徐汇,2015,06,42921
上海,徐汇,2015,05,42308
上海,徐汇,2015,04,41719
上海,徐汇,2015,03,41233
上海,徐汇,2015,02,40958
上海,徐汇,2015,01,40805
上海,宝山,2015,12,27008
上海,宝山,2015,11,26426
上海,宝山,2015,10,26029
上海,宝山,2015,09,25535
上海,宝山,2015,08,25151
上海,宝山,2015,07,24755
上海,宝山,2015,06,24547
上海,宝山,2015,05,24014
上海,宝山,2015,04,23508
上海,宝山,2015,03,23417
上海,宝山,2015,02,23279
上海,宝山,2015,01,23351
上海,闵行,2015,12,29828
上海,闵行,2015,11,29426
上海,闵行,2015,10,29050
上海,闵行,2015,09,28736
上海,闵行,2015,08,28629
上海,闵行,2015,07,28442
上海,闵行,2015,06,28131
上海,闵行,2015,05,27860
上海,闵行,2015,04,27377
上海,闵行,2015,03,27308
上海,闵行,2015,02,27196
上海,闵行,2015,01,27239
上海,浦东,2015,12,33341
上海,浦东,2015,11,32380
上海,浦东,2015,10,31774
上海,浦东,2015,09,31468
上海,浦东,2015,08,31273
上海,浦东,2015,07,31487
上海,浦东,2015,06,31087
上海,浦东,2015,05,30800
上海,浦东,2015,04,30462
上海,浦东,2015,03,30335
上海,浦东,2015,02,30422
上海,浦东,2015,01,30353
上海,上海周边,2014,12,7531
上海,上海周边,2014,11,7517
上海,上海周边,2014,10,7337
上海,上海周边,2014,09,7351
上海,上海周边,2014,08,7454
上海,上海周边,2014,07,7371
上海,上海周边,2014,06,7826
上海,上海周边,2014,05,8275
上海,上海周边,2014,04,7799
上海,上海周边,2014,03,7719
上海,上海周边,2014,02,7813
上海,上海周边,2014,01,7749
上海,崇明,2014,12,6389
上海,崇明,2014,11,14646
上海,崇明,2014,10,7003
上海,崇明,2014,09,6817
上海,崇明,2014,08,6620
上海,崇明,2014,07,7082
上海,崇明,2014,06,6899
上海,崇明,2014,05,6950
上海,崇明,2014,04,6936
上海,崇明,2014,03,7144
上海,崇明,2014,02,6934
上海,崇明,2014,01,7043
上海,金山,2014,12,9040
上海,金山,2014,11,9111
上海,金山,2014,10,9262
上海,金山,2014,09,9743
上海,金山,2014,08,9540
上海,金山,2014,07,9608
上海,金山,2014,06,9704
上海,金山,2014,05,9692
上海,金山,2014,04,9662
上海,金山,2014,03,9892
上海,金山,2014,02,9837
上海,金山,2014,01,9714
上海,奉贤,2014,12,14671
上海,奉贤,2014,11,14916
上海,奉贤,2014,10,14888
上海,奉贤,2014,09,15007
上海,奉贤,2014,08,14545
上海,奉贤,2014,07,14673
上海,奉贤,2014,06,15151
上海,奉贤,2014,05,14944
上海,奉贤,2014,04,14663
上海,奉贤,2014,03,14306
上海,奉贤,2014,02,14372
上海,奉贤,2014,01,13670
上海,青浦,2014,12,19462
上海,青浦,2014,11,20198
上海,青浦,2014,10,19890
上海,青浦,2014,09,19820
